Book	Reference	ID	Quote	Occurrence
MAT	20:13	b3fs	ἑνὶ αὐτῶν εἶπεν, ἑταῖρε, οὐκ ἀδικῶ σε. οὐχὶ δηναρίου συνεφώνησάς μοι?	1
MAT	20:13	y6zz	σε. οὐχὶ & συνεφώνησάς	1
MAT	23:14	onan	οὐαὶ δὲ ὑμῖν, γραμματεῖς καὶ Φαρισαῖοι, ὑποκριταί! ὅτι κατεσθίετε τὰς οἰκίας τῶν χηρῶν, καὶ προφάσει μακρὰ προσευχόμενοι. διὰ τοῦτο λήμψεσθε περισσότερον κρίμα	1
MAT	23:14	y6yc	οὐαὶ & ὑμῖν, γραμματεῖς καὶ Φαρισαῖοι, ὑποκριταί! ὅτι κατεσθίετε τὰς οἰκίας τῶν χηρῶν, καὶ προφάσει μακρὰ προσευχόμενοι. διὰ τοῦτο λήμψεσθε περισσότερον κρίμα	1
PHP	1:15	sa9n	Some indeed even proclaim Christ	0
PHP	3:4	upw5	ἐγὼ ἔχων πεποίθησιν καὶ ἐν σαρκί. εἴ τις δοκεῖ ἄλλος πεποιθέναι ἐν σαρκί, ἐγὼ μᾶλλον	1
PHP	3:9	pbgf	τὴν ἐκ Θεοῦ δικαιοσύνην ἐπὶ τῇ πίστε	1
PHP	3:9	jmqf	τὴν ἐκ Θεοῦ δικαιοσύνην ἐπὶ τῇ πίστε	1
PHP	4:6	a443	τὰ αἰτήματα ὑμῶν γνωριζέσθω πρὸς τὸν Θεό	1
PRO	1:5	lrm2	יִשְׁמַ֣ע חָ֭כָם וְ⁠י֣וֹסֶף לֶ֑קַח וְ֝⁠נָב֗וֹן תַּחְבֻּל֥וֹת יִקְנֶֽה	0
PRO	17:20	gekd	שִׂפְתֵ֣י & וּ֝⁠פִ֗י⁠ו	1
PRO	27:7	hu2h	אוֹהֵ֑ב & שׂוֹנֵֽא	1
REV	14:4	r104	οἱ ἠγορασμένοι	1
REV	16:8	r141	οἱ ἄνθρωποι	1
REV	18:24	r252	ἐν αὐτῇ αἷμα & εὑρέθη προφητῶν	1
ROM	5:7	x60d	γὰρ & τάχα τις	2
ROM	5:13	juq7	ἁμαρτία & οὐκ ἐλλογεῖται	2
ROM	5:13	izno	ἁμαρτία & οὐκ ἐλλογεῖται	2
ROM	5:16	ub9s	τὸ & κρίμα	2
ROM	7:15	e8ki	οὐ & ὃ θέλω & ὃ μισῶ	2
ROM	7:15	az2z	οὐ & ὃ θέλω, τοῦτο πράσσω & ὃ μισῶ, τοῦτο ποιῶ.	2
ROM	7:18	uxwb	τὸ & κατεργάζεσθαι τὸ καλὸν οὔ	2
ROM	8:6	oviz	τὸ & φρόνημα τοῦ Πνεύματος	2
